source,row_id,reason,logged_at
products,313,product is inactive,2026-06-18T19:11:35.173435
products,314,product is inactive,2026-06-18T19:11:35.173770
products,322,product is inactive,2026-06-18T19:11:35.174084
products,324,product is inactive,2026-06-18T19:11:35.174379
products,327,product is inactive,2026-06-18T19:11:35.174657
products,331,product is inactive,2026-06-18T19:11:35.174909
products,332,product is inactive,2026-06-18T19:11:35.175131
products,334,product is inactive,2026-06-18T19:11:35.175545
products,335,product is inactive,2026-06-18T19:11:35.175961
products,340,product is inactive,2026-06-18T19:11:35.176298
products,346,product is inactive,2026-06-18T19:11:35.176641
products,347,product is inactive,2026-06-18T19:11:35.176898
products,349,product is inactive,2026-06-18T19:11:35.177105
products,351,product is inactive,2026-06-18T19:11:35.177287
products,356,product is inactive,2026-06-18T19:11:35.177483
products,357,product is inactive,2026-06-18T19:11:35.177840
products,364,product is inactive,2026-06-18T19:11:35.178212
products,365,product is inactive,2026-06-18T19:11:35.178544
products,366,product is inactive,2026-06-18T19:11:35.178904
products,367,product is inactive,2026-06-18T19:11:35.179224
products,369,product is inactive,2026-06-18T19:11:35.179514
products,370,product is inactive,2026-06-18T19:11:35.179852
products,371,product is inactive,2026-06-18T19:11:35.180239
products,372,product is inactive,2026-06-18T19:11:35.180751
products,373,product is inactive,2026-06-18T19:11:35.181207
products,374,product is inactive,2026-06-18T19:11:35.181670
products,375,product is inactive,2026-06-18T19:11:35.182154
products,380,product is inactive,2026-06-18T19:11:35.182714
products,381,product is inactive,2026-06-18T19:11:35.183229
products,382,product is inactive,2026-06-18T19:11:35.183642
products,383,product is inactive,2026-06-18T19:11:35.184062
products,384,product is inactive,2026-06-18T19:11:35.184589
products,385,product is inactive,2026-06-18T19:11:35.185076
products,386,product is inactive,2026-06-18T19:11:35.185517
products,387,product is inactive,2026-06-18T19:11:35.185983
products,392,product is inactive,2026-06-18T19:11:35.186395
products,394,product is inactive,2026-06-18T19:11:35.186755
products,396,product is inactive,2026-06-18T19:11:35.187101
products,398,product is inactive,2026-06-18T19:11:35.187357
products,399,product is inactive,2026-06-18T19:11:35.187640
products,404,product is inactive,2026-06-18T19:11:35.188008
products,405,product is inactive,2026-06-18T19:11:35.188340
products,408,product is inactive,2026-06-18T19:11:35.188659
products,410,product is inactive,2026-06-18T19:11:35.188974
products,412,product is inactive,2026-06-18T19:11:35.189318
products,414,product is inactive,2026-06-18T19:11:35.189653
products,416,product is inactive,2026-06-18T19:11:35.189983
products,419,product is inactive,2026-06-18T19:11:35.190464
products,420,product is inactive,2026-06-18T19:11:35.190898
products,422,product is inactive,2026-06-18T19:11:35.191356
products,423,product is inactive,2026-06-18T19:11:35.191722
products,428,product is inactive,2026-06-18T19:11:35.192115
products,430,product is inactive,2026-06-18T19:11:35.192502
products,432,product is inactive,2026-06-18T19:11:35.192881
products,433,product is inactive,2026-06-18T19:11:35.193277
products,434,product is inactive,2026-06-18T19:11:35.193588
products,438,product is inactive,2026-06-18T19:11:35.193914
products,439,product is inactive,2026-06-18T19:11:35.194316
products,440,product is inactive,2026-06-18T19:11:35.194645
products,441,product is inactive,2026-06-18T19:11:35.194990
products,442,product is inactive,2026-06-18T19:11:35.195280
products,446,product is inactive,2026-06-18T19:11:35.195611
products,447,product is inactive,2026-06-18T19:11:35.196040
products,448,product is inactive,2026-06-18T19:11:35.196528
products,451,product is inactive,2026-06-18T19:11:35.196995
products,453,product is inactive,2026-06-18T19:11:35.197494
products,454,product is inactive,2026-06-18T19:11:35.198214
products,455,product is inactive,2026-06-18T19:11:35.198763
products,456,product is inactive,2026-06-18T19:11:35.199278
products,457,product is inactive,2026-06-18T19:11:35.199732
products,459,product is inactive,2026-06-18T19:11:35.200094
products,460,product is inactive,2026-06-18T19:11:35.200421
products,466,product is inactive,2026-06-18T19:11:35.200762
products,469,product is inactive,2026-06-18T19:11:35.201095
products,471,product is inactive,2026-06-18T19:11:35.201518
products,472,product is inactive,2026-06-18T19:11:35.201941
products,473,product is inactive,2026-06-18T19:11:35.202456
products,474,product is inactive,2026-06-18T19:11:35.202877
products,476,product is inactive,2026-06-18T19:11:35.203304
products,477,product is inactive,2026-06-18T19:11:35.203620
products,478,product is inactive,2026-06-18T19:11:35.203916
products,481,product is inactive,2026-06-18T19:11:35.204203
products,482,product is inactive,2026-06-18T19:11:35.204640
products,491,product is inactive,2026-06-18T19:11:35.205136
products,493,product is inactive,2026-06-18T19:11:35.205620
products,495,product is inactive,2026-06-18T19:11:35.205997
products,496,product is inactive,2026-06-18T19:11:35.206298
products,497,product is inactive,2026-06-18T19:11:35.206563
products,498,product is inactive,2026-06-18T19:11:35.206851
products,500,product is inactive,2026-06-18T19:11:35.207125
products,501,product is inactive,2026-06-18T19:11:35.207527
products,503,product is inactive,2026-06-18T19:11:35.208009
products,504,product is inactive,2026-06-18T19:11:35.208296
products,505,product is inactive,2026-06-18T19:11:35.208506
products,508,product is inactive,2026-06-18T19:11:35.208798
products,510,product is inactive,2026-06-18T19:11:35.209151
products,515,product is inactive,2026-06-18T19:11:35.209473
products,516,product is inactive,2026-06-18T19:11:35.209795
products,517,product is inactive,2026-06-18T19:11:35.210076
products,519,product is inactive,2026-06-18T19:11:35.210587
products,520,product is inactive,2026-06-18T19:11:35.211108
products,521,product is inactive,2026-06-18T19:11:35.211684
products,523,product is inactive,2026-06-18T19:11:35.212190
products,529,product is inactive,2026-06-18T19:11:35.212666
products,531,product is inactive,2026-06-18T19:11:35.213273
products,536,product is inactive,2026-06-18T19:11:35.213723
products,537,product is inactive,2026-06-18T19:11:35.214246
products,539,product is inactive,2026-06-18T19:11:35.214650
products,541,product is inactive,2026-06-18T19:11:35.215028
products,545,product is inactive,2026-06-18T19:11:35.215413
products,552,product is inactive,2026-06-18T19:11:35.215751
products,555,product is inactive,2026-06-18T19:11:35.216223
products,556,product is inactive,2026-06-18T19:11:35.216568
products,561,product is inactive,2026-06-18T19:11:35.216960
products,564,product is inactive,2026-06-18T19:11:35.217304
products,570,product is inactive,2026-06-18T19:11:35.217629
products,575,product is inactive,2026-06-18T19:11:35.217932
products,576,product is inactive,2026-06-18T19:11:35.218209
products,577,product is inactive,2026-06-18T19:11:35.218609
products,582,product is inactive,2026-06-18T19:11:35.218923
products,583,product is inactive,2026-06-18T19:11:35.219164
products,587,product is inactive,2026-06-18T19:11:35.219607
products,589,product is inactive,2026-06-18T19:11:35.219927
products,590,product is inactive,2026-06-18T19:11:35.220157
products,591,product is inactive,2026-06-18T19:11:35.220418
products,592,product is inactive,2026-06-18T19:11:35.220919
products,597,product is inactive,2026-06-18T19:11:35.221340
products,598,product is inactive,2026-06-18T19:11:35.221716
products,1,product is inactive,2026-06-18T19:11:35.222110
products,3,product is inactive,2026-06-18T19:11:35.222468
products,4,product is inactive,2026-06-18T19:11:35.222768
products,10,product is inactive,2026-06-18T19:11:35.223069
orders,1,invalid date: 2025-99-99,2026-06-18T19:11:35.288052
orders,67,invalid date: 2025-99-99,2026-06-18T19:11:35.338791
orders,113,invalid date: 2025-99-99,2026-06-18T19:11:35.373515
orders,140,invalid date: 2025-99-99,2026-06-18T19:11:35.394522
orders,147,invalid date: 2025-99-99,2026-06-18T19:11:35.403610
orders,191,invalid date: 2025-99-99,2026-06-18T19:11:35.438208
orders,202,invalid date: 2025-99-99,2026-06-18T19:11:35.446316
orders,210,invalid date: 2025-99-99,2026-06-18T19:11:35.453372
orders,233,invalid date: 2025-99-99,2026-06-18T19:11:35.480145
orders,270,invalid date: 2025-99-99,2026-06-18T19:11:35.508980
orders,281,invalid date: 2025-99-99,2026-06-18T19:11:35.520065
orders,301,invalid date: 2025-99-99,2026-06-18T19:11:35.536054
orders,366,invalid date: 2025-99-99,2026-06-18T19:11:35.581315
orders,394,invalid date: 2025-99-99,2026-06-18T19:11:35.600910
